username,country,country_code,question_no,uid,year,answer,value_na,value
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2000,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2001,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2002,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2003,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2004,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2005,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2006,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2007,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2008,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2009,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2010,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2011,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2012,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2013,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2014,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2015,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2016,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2017,"Mixed system [0.5]",0.5,0.5
ALB22uFF4m,Albania,ALB,1,q1c1_apjufc,2018,"Mixed system [0.5]",0.5,0.5
